"site_code","project_name","community_type","rrich","anpp","annual_relcov"
"IMGERS","Yu","0",28.0675694444444,147.040416666667,0.0602823169860827
"VCR","NutNet","0",39.6648263888889,285.913333333333,0.126190144910752
"NANT","wet","Nant-Mrsh_TNC_S",72.8855769500561,83.4,0.467959702035768
"NANT","wet","Nant-Mrsh_BSA_S",62.5971855709877,37.3333333333333,0.537047163402248
"NANT","wet","Broad_BRC_S",34.1374305555556,22.9351,0.633052472724029
"NANT","wet","Nant_TNC_M",41.025462962963,255.525333333333,0.266727139975832
"NANT","wet","Broad_BRC_M",30.7877662037037,165.933333333333,0.586419086259802
"NANT","wet","Marshy_BSA_M",30.0359953703704,282.6,0.362673772641909
"SEV","WENNDEx","0",60.2398263888889,89.1348333333333,0.0299810076601253
"ANG","watering","0",42.2532060185185,175.991497102564,0.697472004459933
"SR","Water","A",36.3611574074074,306.38582725,0.837788352244893
"SR","Water","P",38.4798611111111,254.457204,0.488284053593307
"Hayoka","WarmNit","0",10,376,0
"Finse","WarmNut","0",104.172659231201,95,0.0135605126212967
"KAEFS","WAPAClip","0",58.0504947444531,402.546875,0.663076856186065
"SKY","UK","0",26.1017361111111,253.1112,0.0225835966322987
"SIU","TON","0",116.054347847986,427.71125,0.22615696319777
"SERC","TMECE","SP",6.57048611111111,777.75,0.0197374022759085
"SERC","TMECE","SC",7.2212037037037,843.03,0.0132474783346206
"SERC","TMECE","MX",5.12597222222222,766.44,0.0222321821633692
"PIE","TIDE","0",8,1001.88888888889,0.0110375074109706
"TAS","FACE","0",73.5245949074074,285,0.0490454110444386
"SCL","TER","0",127.400687140266,675.51,0.0313254708801911
"KBS","T7","0",116.159829303247,438.085673611111,0.16021345583212
"JRN","study278","0",24.8224189814815,173,0.068676829314626
"JRN","study 119","BajadaShrubland",86.6054650176415,104,0.153701882444376
"JRN","study 119","BasinSlopes",104.867124894781,113,0.393781632429512
"JRN","study 119","Peidmont",113.023388363183,79,0.262839820594862
"JRN","study 119","Playa",50.6067939814815,199,0.360848600642367
"NWT","snow","0",35.4521643518518,264.628472222222,0.00761855564559157
"SEV","Nfert","0",72.7041428170595,69.8655444444444,0.264464134216497
"SEV","EDGE","blue_gramma",79.6691994733661,98,0.123513922319737
"SEV","EDGE","black_gramma",67.1209066358025,66,0.113011039987755
"Saskatchewan","CCD","0",40.7847743055556,132,0.0194813101181054
"SGS","Irg","0",42.7600347222222,90,0.0321169209688499
"SGS","Drought","0",47.943800154321,90,0.0311830907772872
"CAU","RMAPC","SBC",26.8806944444444,121.274458333333,0
"CAU","RMAPC","GHM",30.0485532407407,300.72875,0.000958903960331713
"CAU","RMAPC","FVG",48.7676948302469,240.027083333333,0.008746020177222
"CAU","RMAPC","ALH",38.2634027777778,148.642708333333,0.0178439061447633
"KNZ","RPHs","0",63.6136041639687,627.2675,0.082893200035606
"KNZ","RaMPs","0",83.8549000420875,772.962424242424,0.00891356355138571
"BUX","PQ","0",57.2992669753086,380,0.0188128200671481
"KNZ","pplots","0",86.5795603605499,491.141176470588,0.00851944767392941
"LEFT","PME","0",33.4954108796296,200.006666666667,0.54555798661316
"CHY","PHACE","0",51.4902149971942,116.898600341111,0.0164882334711817
"CAR","salt marsh","JaumSal",3.9,1415,0.174709394115944
"CAR","salt marsh","SalCus",5.99875,1415,0.221425453259071
"CAR","salt marsh","DisSal",5.94833333333333,1415,0.139170515166516
"CAR","salt marsh","HighMar",6.62895833333333,1415,0.0861189438784551
"CAR","salt marsh","MonArth",7.07513888888889,1415,0.0417404341014177
"CAR","salt marsh","ArthSal",4.86944444444444,1415,0.0993965863866422
"ORNL","FACE","0",67.6396843231999,169.03125,0.456901001561164
"yarra.au","NutNet","0",34.6358912037037,322.022916666667,0.0414797825507236
"veluwe.nl","NutNet","0",60.0405460858586,121.784,0.0578241534384017
"temple.us","NutNet","0",75.6151625857462,568.674242424242,0.171553901018317
"sier.us","NutNet","0",83.8205702070953,296.894358589744,0.672784583220259
"shps.us","NutNet","0",71.7297558922559,127.754166666667,0.130653500717949
"cbgb.us","NutNet","0",66.3594405864198,411.764537878788,0.0419420795207518
"CDR","NutNet","0",74.5313514687473,180.49245,0.0137206750207792
"Bt","NutNet","0",62.6177546296296,149.883925,0.0166046198566363
"Rengen","Nut","0",84.0659722222222,250,0.0924015928853513
"Naiman","Nprecip","0",27.6212615740741,128.514666666667,0.658228587135435
"EGN","Nmow","0",53.3817520693042,198.5,0.013072019271114
"SR","Nitrogen","A",39.0864467592593,284.9900394,0.781497400094186
"SR","Nitrogen","P",36.8708217592593,192.7103003,0.473263462498241
"AZI","NitPhos","0",76.3135570987654,459.37448,0.0286111486551041
"YMN","NitAdd","0",48.8145244107744,196.481666666667,0.0647146465102769
"NWT","246Nfert","0",57.2131905864198,125.849999998,0.00834430975748301
